Genus	Species_name	Number	Sample_size	Species	Latitude	Longitude
Bombus veteranus	veteranus	29	(29)	Bombus veteranus (29)	56.452764	8.126577
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.491167	8.134220
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.659160	8.174942
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.385992	8.121821
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.455041	8.129339
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.659096	8.175006
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.660896	8.177333
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.666780	8.181818
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.673440	8.186525
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65672	8.19357
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65837	8.19448
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65990	8.19574
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.66162	8.19599
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65882	8.17722
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65872	8.17250
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.66086	8.17717
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.63263	8.16511
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.63332	8.17124
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.63411	8.16391
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.63606	8.16088
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.64142	8.16180
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.64568	8.16445
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65207	8.17088
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.65639	8.17395
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.39935	8.12162
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.39483	8.12135
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.38548	8.12183
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.38653	8.12184
Bombus veteranus	veteranus	 	(29)	Bombus veteranus (29)	56.38096	8.12122
Bombus pascuorum	pascuorum	34	(34)	Bombus pascuorum (34)	56.20556	8.45094
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.20704	8.45142
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.20851	8.45178
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21318	8.45580
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21235	8.45487
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21142	8.45373
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21437	8.45710
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21556	8.45781
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21791	8.45903
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.25170	8.41915
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.27358	8.40602
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.27136	8.41024
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.27854	8.39913
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.27675	8.40224
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.27957	8.39747
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.26749	8.40742
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.25330	8.42391
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.25062	8.41049
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.25398	8.40225
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.21905	8.45965
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.22069	8.45397
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.22514	8.43499
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.22553	8.43372
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.23942	8.40919
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.23920	8.41090
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.23963	8.40738
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.23988	8.40517
Bombus pascuorum	pascuorum	 	(34)	Bombus pascuorum (34)	56.24223	8.39118
