Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.1666741	0.9755772	0.8144670	0.4772807	0.3830000	0.2255427	0.6524397	0.3011559	0.1802137	0.1629023	0.0622608	0.0548976	0.1715908	0.0303268	0.0250985	0.1483811	0.3192421	0.4366430	0.3828813	-155957.764
10	1.1572449	0.9520769	0.8312895	0.4841541	0.3715523	0.2500407	0.6397855	0.2934529	0.1802137	0.1672590	0.0623513	0.0530547	0.1713418	0.0303268	0.0274686	0.1727635	0.4006781	0.4366430	0.7122967	-155959.262
20	1.1608269	0.9139505	0.8392664	0.4814064	0.3772728	0.2542816	0.6480585	0.2858249	0.1797771	0.1670287	0.0655070	0.0559611	0.1714831	0.0387869	0.0325261	0.1941210	0.4179908	0.7345986	0.3822155	-155962.418
30	1.1891393	0.9229569	0.8321778	0.4412080	0.3701366	0.2478724	0.6239464	0.2679736	0.1803103	0.1624061	0.0597567	0.0558469	0.1749716	0.0360841	0.0438387	0.1579826	0.4336622	0.8605333	0.2664701	-155958.818
40	1.1685515	0.9014641	0.8106223	0.4733809	0.3791331	0.2732529	0.6300960	0.2602180	0.1805660	0.1667448	0.0624206	0.0540511	0.1635590	0.0360841	0.0260712	0.1579826	0.4336622	0.3948687	0.4964202	-155961.411
50	1.2152116	0.9005922	0.8006946	0.4309757	0.3791331	0.2668285	0.6477077	0.2698981	0.1765128	0.1522468	0.0634030	0.0606034	0.1697778	0.0412598	0.0244336	0.1579826	0.2327155	0.2889317	0.3351396	-155959.185
60	1.2182816	0.9046432	0.7957654	0.4198322	0.3587944	0.2661051	0.6720033	0.2691593	0.1686831	0.1494199	0.0634030	0.0606034	0.1638423	0.0405346	0.0216266	0.1682051	0.2695785	0.2055383	0.3022749	-155961.008
70	1.2480413	0.9026151	0.7940140	0.4312116	0.3587944	0.2533670	0.6874824	0.2793431	0.1727486	0.1511569	0.0634030	0.0586680	0.1647083	0.0288482	0.0200545	0.1597656	0.2296151	0.3310525	0.2265306	-155955.076
80	1.2200041	0.9176191	0.7678512	0.4690740	0.3556948	0.2517635	0.6778594	0.2757897	0.1773344	0.1459951	0.0676283	0.0605799	0.1638422	0.0282974	0.0254768	0.1597656	0.4086831	0.5373444	0.3814603	-155964.858
90	1.2128844	0.9180574	0.7468963	0.4614818	0.3633410	0.2596251	0.7094903	0.2656896	0.1747952	0.1547928	0.0740838	0.0663974	0.1665248	0.0351488	0.0300116	0.1446528	0.2732945	0.6141864	0.4935158	-155966.696
100	1.2298732	0.8934196	0.7371807	0.4685597	0.3732154	0.2699718	0.7153826	0.2889194	0.1703694	0.1505336	0.0772223	0.0728900	0.1611108	0.0308971	0.0274870	0.1664941	0.2732945	0.4317190	0.4752531	-155961.164
110	1.2272137	0.9034468	0.7637868	0.5133686	0.3754430	0.2732843	0.6911035	0.2814259	0.1756589	0.1477323	0.0779419	0.0740510	0.1695653	0.0369480	0.0184062	0.1947288	0.2679529	0.2763840	0.5431210	-155957.697
120	1.2496392	0.9616764	0.7955679	0.4987404	0.3692790	0.2631925	0.6678853	0.2676718	0.1658217	0.1510527	0.0791648	0.0732852	0.1614611	0.0347351	0.0192471	0.1535506	0.6846430	0.3053958	0.5266382	-155968.427
130	1.2587495	0.9550707	0.7916577	0.5270971	0.4067345	0.2547989	0.6504129	0.2510165	0.1633183	0.1437401	0.0791648	0.0729780	0.1514199	0.0271556	0.0233618	0.1379415	0.2933004	0.1621345	0.2747603	-155963.333
140	1.2639027	0.9334761	0.7969572	0.5275175	0.3973273	0.2745872	0.6192016	0.2510165	0.1638018	0.1472846	0.0787417	0.0729780	0.1514527	0.0303111	0.0203164	0.1798940	0.3245880	0.4318851	0.5012710	-155971.916
150	1.2519047	0.9139954	0.7633285	0.5116228	0.3998026	0.2414468	0.6281349	0.2491918	0.1663901	0.1507814	0.0755774	0.0729780	0.1570343	0.0270783	0.0219871	0.1280854	0.3182712	0.2914259	0.3959046	-155956.562
160	1.2500417	0.9069107	0.7446902	0.5062617	0.4154169	0.2566998	0.6097061	0.2618083	0.1696702	0.1501862	0.0810947	0.0729780	0.1656720	0.0288898	0.0269153	0.1257449	0.3873940	0.3697878	0.2796162	-155955.686
170	1.2441646	0.9144615	0.7602301	0.5070255	0.4369725	0.2349017	0.6126445	0.2657599	0.1664059	0.1457235	0.0787210	0.0657397	0.1597219	0.0274449	0.0202289	0.1638346	0.3305673	0.2914793	0.2796162	-155967.817
180	1.2333953	0.8950847	0.7530496	0.5272386	0.4550872	0.2395351	0.5863421	0.2641532	0.1634714	0.1491798	0.0750431	0.0695695	0.1540650	0.0389401	0.0306914	0.1255793	0.5207589	0.9491715	0.2942778	-155949.225
190	1.2167710	0.9106537	0.7543194	0.5347387	0.4492342	0.2452291	0.5955124	0.2655716	0.1597291	0.1491798	0.0729189	0.0698918	0.1474517	0.0323669	0.0270613	0.1685543	0.3531399	0.7971954	0.7194326	-155960.736
200	1.2024075	0.9024335	0.7617260	0.5209283	0.4258190	0.2537144	0.6014291	0.2592137	0.1586352	0.1481148	0.0796054	0.0691755	0.1487219	0.0389228	0.0268842	0.1446018	0.3101462	0.3214062	0.3445095	-155957.302
210	1.1963066	0.9011463	0.7569348	0.4720818	0.3836483	0.2506256	0.6003883	0.2752716	0.1566292	0.1439263	0.0739391	0.0670678	0.1547944	0.0399356	0.0266700	0.1782268	0.5850503	0.5317789	0.3445095	-155955.047
220	1.2092856	0.9072720	0.7641853	0.4618877	0.3856321	0.2486544	0.5970421	0.2924662	0.1585760	0.1456573	0.0774802	0.0675612	0.1489911	0.0418242	0.0212131	0.1310343	0.3223610	0.2322898	0.5904665	-155958.365
230	1.2001224	0.8835383	0.7376012	0.4534277	0.3864532	0.2232294	0.6304165	0.3016760	0.1627894	0.1494673	0.0774802	0.0726649	0.1578181	0.0518011	0.0235164	0.1656328	0.4219127	0.2464715	0.3795287	-155957.853
240	1.2331042	0.8862084	0.7808672	0.4395918	0.3950561	0.2169073	0.6499775	0.2854258	0.1672007	0.1508874	0.0843022	0.0755145	0.1550391	0.0304139	0.0292173	0.1404547	0.4040935	0.5938345	0.5322810	-155951.250
