Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	1.0559709	0.9873514	0.2810942	0.2332819	0.1122768	0.1099782	0.0379379	0.0210548	0.2395119	2.1978872	1.3037237	1.6373184	-2128010.228
1000	0.9758119	0.9517777	0.2949558	0.2347195	0.1162582	0.1201892	0.0592726	0.0219855	0.1124467	1.0971809	0.8772120	1.0071288	-2128012.264
2000	1.0534502	0.9895613	0.2998826	0.2707636	0.1470800	0.1266763	0.0287478	0.0458601	0.3465311	0.6989165	1.2908266	1.0756533	-2128002.112
3000	1.0423728	1.0252702	0.3005020	0.2882737	0.1755424	0.1877612	0.0483431	0.0242080	0.3212783	1.2059842	1.2370289	1.1449896	-2128009.769
4000	1.0765778	1.0490445	0.3401824	0.3017180	0.1989593	0.2349851	0.0436343	0.0295483	0.2509187	1.6692867	1.5830587	1.5898715	-2128008.907
5000	1.0683346	0.9585523	0.4419950	0.3283470	0.2410718	0.2990930	0.0360577	0.0224724	0.1620347	0.9392843	1.2210522	0.7203138	-2128004.159
6000	1.0852499	0.9570793	0.4304884	0.3757696	0.2361504	0.3223205	0.0365077	0.0145132	0.1566499	0.9677095	0.9952712	1.2807997	-2128005.564
7000	1.0718786	0.9561236	0.5457844	0.4330333	0.2582399	0.2100942	0.0391425	0.0200563	0.1154278	1.0927480	1.3162948	0.6285136	-2128009.750
8000	1.0943572	0.9836180	0.4651105	0.4273271	0.2767928	0.1673088	0.0329724	0.0311045	0.1322561	0.9845707	0.8752300	0.7976986	-2128010.757
9000	1.1065286	0.9913809	0.4562137	0.4272749	0.2287355	0.1573759	0.0275180	0.0186810	0.2045204	0.6866805	0.6507528	0.9937194	-2128007.807
10000	1.0560038	1.0024580	0.5226331	0.4451023	0.2295338	0.2096487	0.0185091	0.0227860	0.1436830	0.8608378	1.8128249	1.0634075	-2128004.930
11000	0.9899444	0.9649585	0.5615302	0.5056058	0.2476657	0.1824033	0.0299459	0.0147582	0.2416875	0.7531181	0.9943541	1.0112749	-2128008.139
12000	1.0303838	0.9635252	0.5221730	0.4624683	0.2491626	0.3110110	0.0296888	0.0174150	0.3498185	0.7817468	1.0312792	1.6811192	-2128008.580
13000	1.0454731	0.9582805	0.5410784	0.5014102	0.2304949	0.2788140	0.0198197	0.0118494	0.1169686	0.5296510	0.5981103	0.7713565	-2128008.171
14000	1.0412615	0.9447071	0.5657991	0.5047218	0.2509405	0.3057039	0.0317330	0.0152470	0.2220217	1.0435211	0.7764227	1.3387500	-2128012.382
15000	1.0768030	1.0019905	0.6254945	0.4598423	0.2938132	0.3353692	0.0211903	0.0155550	0.1546041	1.1573518	0.7627720	0.7995714	-2128006.069
16000	1.0140313	0.9549100	0.7537188	0.5366182	0.3358778	0.3152193	0.0202909	0.0165190	0.1033729	0.5220851	0.4765981	0.5064954	-2128012.877
17000	1.0751496	1.0012531	0.8229580	0.5543535	0.3059026	0.3934219	0.0237099	0.0150754	0.1609267	0.9016192	0.6524376	0.8473719	-2128013.240
18000	1.0802850	0.9752978	0.8892727	0.5259157	0.3869425	0.4877461	0.0208539	0.0087623	0.1047023	0.7155330	0.7459131	0.9026713	-2128004.036
19000	1.0880615	0.9548630	0.8793338	0.5684758	0.3927940	0.6538808	0.0229634	0.0141479	0.1039872	0.5427947	0.6026043	0.7768805	-2128007.627
20000	1.0737108	0.9602189	0.9087319	0.7122115	0.4616248	0.7087096	0.0197022	0.0216840	0.0754157	0.8836043	0.8986018	0.4612220	-2128006.352
