Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.3860309	0.3462034	0.2595201	0.2482704	0.2151048	0.0753486	0.0593230	0.0564859	0.0286542	0.1740014	0.1771147	0.4353407	0.4297912	-638237.708
200	0.4050495	0.3975894	0.2483589	0.2260219	0.2038694	0.0698796	0.0472535	0.0603055	0.0382054	0.2396758	0.3037011	0.2400524	0.8660812	-638241.225
400	0.4088604	0.3685431	0.2489236	0.2291214	0.2012241	0.0755793	0.0526083	0.0564292	0.0352671	0.1563652	0.1270092	0.1913322	0.2015558	-638238.312
600	0.3882048	0.3555337	0.2493407	0.2224090	0.2087869	0.0838688	0.0573893	0.0509983	0.0368395	0.1768803	0.2267211	0.1599059	0.3543113	-638244.899
800	0.3937706	0.3634750	0.2465506	0.2324621	0.2092581	0.0799453	0.0562445	0.0425903	0.0342479	0.1615483	0.4499083	0.2613402	0.3454190	-638241.475
1000	0.3843676	0.3687002	0.2607731	0.2489503	0.2228084	0.0866539	0.0587051	0.0465499	0.0380524	0.1603329	0.2547429	0.3346414	0.3926326	-638243.377
1200	0.3852535	0.3346484	0.2525179	0.2080882	0.1860009	0.0793196	0.0478390	0.0533433	0.0308579	0.1899303	0.2955670	0.1716441	0.3830467	-638233.811
1400	0.4005567	0.3460338	0.2435847	0.2247798	0.1907527	0.0754446	0.0456805	0.0323332	0.0461485	0.1404399	0.3831685	0.3740022	0.2860563	-638239.207
1600	0.3882314	0.3298909	0.2416388	0.2260081	0.2007808	0.0851987	0.0473971	0.0690966	0.0335085	0.1350935	0.8350237	0.2478554	0.2087458	-638232.400
1800	0.3815016	0.3231021	0.2362853	0.2144697	0.1840980	0.0812124	0.0419325	0.0762586	0.0389918	0.1328426	0.3817540	0.2155013	0.4846547	-638242.478
2000	0.3847692	0.3245584	0.2234240	0.1934075	0.1665931	0.0560731	0.0356793	0.0706675	0.0503894	0.1708075	0.2955713	0.2310289	0.2900576	-638237.851
2200	0.4032637	0.3225471	0.2104565	0.1853292	0.1637489	0.0649219	0.0506183	0.0530626	0.0366752	0.1605895	0.1026312	0.1247964	0.1811533	-638236.210
2400	0.3975873	0.3029170	0.2025969	0.1736478	0.1428506	0.0629099	0.0415236	0.0575633	0.0486312	0.1689025	0.1052543	0.2526040	0.1948001	-638232.020
2600	0.3921880	0.3018146	0.1969605	0.1731277	0.1504379	0.0558211	0.0377261	0.0612640	0.0461794	0.1945034	0.3650229	0.2442991	0.1437518	-638246.113
2800	0.3882141	0.2765095	0.1854085	0.1695586	0.1503153	0.0609701	0.0344053	0.0733430	0.0432424	0.1639577	0.1194466	0.0888438	0.4190549	-638242.742
3000	0.3840250	0.3161653	0.1844949	0.1629649	0.1419524	0.0526012	0.0320548	0.0568269	0.0478511	0.1819714	0.1088750	0.1394615	0.1589307	-638241.450
3200	0.3947552	0.2823020	0.1732851	0.1643952	0.1471034	0.0532722	0.0374759	0.0529297	0.0466277	0.2272257	0.3112032	0.0971324	0.2805734	-638241.236
3400	0.3952053	0.2841820	0.1704216	0.1532217	0.1290185	0.0490813	0.0389768	0.0612615	0.0523270	0.1905449	0.1699020	0.1494895	0.3409581	-638237.717
3600	0.3944574	0.3053183	0.1709763	0.1486395	0.1300379	0.0480200	0.0359567	0.0619232	0.0429810	0.2063187	0.2412850	0.2038928	0.1966965	-638235.549
3800	0.3571752	0.2780637	0.1597098	0.1478835	0.1311743	0.0573580	0.0325886	0.0730061	0.0444504	0.2066542	0.3776641	0.1510856	0.2763594	-638239.698
4000	0.3792310	0.2522673	0.1682342	0.1436002	0.1201252	0.0466688	0.0329980	0.0520902	0.0465569	0.2561500	0.3022980	0.2508269	0.1501114	-638241.658
4200	0.3922370	0.2496283	0.1511017	0.1369963	0.1193597	0.0402682	0.0253989	0.0649626	0.0522102	0.2533786	0.1367909	0.1726288	0.1429951	-638242.349
4400	0.3916926	0.2470506	0.1462864	0.1324369	0.1184041	0.0414627	0.0225247	0.0892546	0.0643609	0.2855268	0.1545773	0.1401593	0.2279600	-638239.476
4600	0.4042740	0.2638730	0.1573070	0.1395663	0.1177025	0.0428227	0.0290245	0.0689551	0.0452206	0.2622780	0.1723900	0.1737118	0.1262261	-638234.171
4800	0.4095133	0.2525920	0.1499252	0.1373813	0.1210063	0.0464962	0.0327073	0.0653148	0.0528789	0.2210537	0.1180344	0.1207175	0.1497416	-638236.558
5000	0.3987022	0.2522798	0.1507849	0.1363347	0.1153938	0.0440961	0.0306722	0.0772263	0.0591827	0.2202163	0.0753391	0.1095381	0.1509306	-638240.702
5200	0.4121628	0.2511389	0.1511187	0.1352344	0.1293304	0.0332859	0.0192685	0.0913126	0.0580729	0.4334584	0.2619054	0.1556993	0.6430992	-638243.277
5400	0.3968731	0.2577936	0.1512435	0.1364030	0.1243613	0.0380872	0.0257240	0.0709165	0.0489592	0.2598990	0.2387944	0.0606846	0.3375676	-638241.796
5600	0.3715786	0.2456320	0.1469726	0.1320552	0.1209554	0.0430963	0.0294144	0.0638178	0.0475639	0.2441119	0.1464521	0.0878794	0.1682061	-638245.826
5800	0.3857641	0.2507394	0.1576228	0.1453918	0.1351822	0.0492881	0.0359025	0.0700640	0.0519915	0.2510518	0.1885668	0.1936142	0.1231114	-638244.518
6000	0.3929016	0.2544646	0.1601862	0.1425916	0.1333728	0.0479453	0.0352464	0.0679964	0.0443569	0.2983974	0.1478971	0.1402067	0.1590385	-638232.217
6200	0.4067056	0.2608032	0.1724089	0.1461014	0.1325282	0.0507551	0.0413765	0.0564099	0.0504885	0.2505942	0.1755593	0.2571157	0.1859980	-638241.086
6400	0.3942483	0.2804330	0.1817297	0.1575029	0.1423686	0.0593084	0.0333884	0.0655978	0.0469402	0.2043648	0.1706680	0.2448446	0.2204518	-638249.884
6600	0.4010996	0.2598961	0.1702135	0.1585835	0.1401232	0.0569558	0.0461413	0.0772007	0.0539823	0.2305330	0.1348361	0.2131416	0.1520323	-638243.447
6800	0.3729753	0.2511003	0.1681169	0.1552538	0.1418379	0.0608381	0.0439601	0.0852230	0.0410153	0.2809805	0.1874317	0.0935047	0.3154894	-638231.907
7000	0.4104433	0.2634294	0.1682268	0.1517968	0.1351230	0.0566605	0.0385182	0.0649390	0.0490968	0.2180394	0.1415081	0.1241330	0.1854078	-638239.639
7200	0.4070385	0.2480339	0.1554379	0.1460641	0.1309305	0.0580848	0.0369345	0.0753841	0.0482751	0.2296510	0.1395033	0.1144237	0.1590570	-638234.279
7400	0.4091940	0.2463340	0.1691109	0.1572010	0.1391850	0.0459370	0.0334808	0.0697791	0.0460978	0.2341635	0.1686290	0.1872086	0.1511624	-638234.395
7600	0.3754130	0.2562977	0.1590215	0.1447028	0.1324601	0.0499615	0.0317277	0.0716059	0.0447439	0.1942124	0.1635465	0.1385731	0.2674929	-638243.606
7800	0.3610639	0.3054970	0.1646289	0.1464306	0.1310745	0.0436886	0.0264079	0.0963162	0.0421753	0.2386931	0.4038175	0.1825243	0.3290588	-638244.187
8000	0.3917327	0.2661731	0.1607721	0.1458731	0.1363481	0.0485568	0.0324603	0.0740468	0.0513286	0.2280279	0.1990451	0.1094300	0.2949794	-638236.852
8200	0.3935310	0.2536067	0.1641907	0.1459033	0.1271720	0.0524579	0.0360716	0.0725176	0.0424840	0.2368282	0.1272705	0.1198785	0.1242315	-638236.310
8400	0.3950204	0.2536112	0.1451341	0.1366374	0.1227826	0.0591432	0.0390391	0.0754492	0.0527545	0.2114013	0.2118672	0.0704962	0.2882103	-638244.825
8600	0.3941780	0.2458713	0.1479689	0.1310863	0.1229638	0.0523090	0.0359073	0.0655709	0.0463333	0.2340524	0.1326697	0.1292810	0.1941595	-638236.633
8800	0.4052851	0.2477426	0.1579159	0.1270412	0.1157641	0.0445314	0.0335141	0.0643114	0.0567598	0.2472679	0.1363233	0.1729442	0.2013956	-638238.817
9000	0.3886025	0.2611570	0.1391350	0.1263382	0.1150248	0.0437427	0.0289369	0.0631760	0.0634356	0.2573234	0.2681670	0.4036313	0.1164790	-638238.148
9200	0.3950468	0.2520391	0.1414234	0.1274529	0.1163337	0.0525262	0.0327908	0.0759196	0.0597874	0.2309952	0.2192372	0.0986478	0.2507088	-638242.303
9400	0.3932475	0.2416104	0.1488997	0.1336766	0.1059350	0.0533703	0.0277628	0.0670891	0.0452215	0.2112162	0.2087143	0.1117099	0.2246531	-638237.580
9600	0.3835561	0.2812571	0.1427651	0.1255279	0.1126831	0.0532374	0.0316982	0.0668895	0.0440759	0.1931689	0.1882293	0.1577019	0.3147615	-638236.042
9800	0.3885878	0.2470931	0.1324265	0.1217199	0.1113407	0.0453842	0.0312083	0.0719390	0.0557600	0.2294358	0.1153987	0.1115490	0.1185357	-638238.460
10000	0.4029264	0.2541363	0.1268432	0.1141504	0.1016204	0.0458939	0.0290628	0.0671559	0.0567431	0.2345978	0.1054028	0.1170994	0.2174609	-638235.195
10200	0.4060737	0.2519648	0.1268605	0.1169250	0.1056806	0.0439967	0.0308915	0.0881078	0.0602163	0.2295527	0.1196372	0.2821578	0.1313163	-638238.212
10400	0.4055812	0.2399936	0.1415337	0.1214415	0.1079299	0.0488602	0.0328233	0.0837760	0.0576893	0.2282123	0.1693039	0.1344738	0.1343382	-638240.377
10600	0.4186382	0.2479753	0.1386386	0.1197129	0.1078038	0.0542520	0.0348110	0.0877057	0.0538333	0.2842081	0.2509881	0.1114139	0.3143153	-638238.574
10800	0.4091840	0.2652166	0.1353228	0.1215394	0.1117253	0.0518553	0.0367253	0.0724409	0.0493543	0.1992407	0.1484201	0.0728297	0.1607630	-638240.208
11000	0.3792007	0.2410657	0.1316022	0.1194937	0.1046713	0.0457970	0.0328230	0.0656690	0.0548914	0.2791476	0.1837051	0.1086548	0.1688580	-638237.260
11200	0.3742160	0.2412660	0.1280792	0.1208199	0.1132155	0.0481912	0.0370050	0.0958926	0.0616412	0.2892477	0.2067130	0.1302381	0.2648681	-638235.040
11400	0.3919814	0.2513536	0.1418579	0.1284539	0.1087946	0.0527135	0.0393243	0.0768290	0.0518517	0.1998996	0.1393789	0.1763717	0.1407337	-638246.034
11600	0.3952094	0.2524768	0.1540079	0.1376022	0.1212713	0.0475057	0.0316152	0.0695989	0.0523381	0.2575437	0.1764093	0.1239395	0.1514381	-638233.044
11800	0.3863248	0.2467691	0.1381174	0.1250443	0.1136848	0.0511482	0.0373567	0.0869328	0.0434321	0.1914173	0.3775263	0.2106776	0.1336909	-638236.947
12000	0.3757836	0.2625533	0.1348443	0.1211891	0.1101789	0.0454372	0.0298980	0.0766429	0.0491089	0.2146219	0.1532755	0.1416331	0.5379192	-638238.471
12200	0.3656151	0.2793863	0.1339248	0.1209715	0.1068252	0.0490223	0.0350083	0.0941129	0.0536191	0.2155970	0.3533854	0.1366139	0.2585536	-638235.559
12400	0.3806528	0.2526729	0.1351230	0.1238381	0.1089592	0.0546322	0.0438448	0.0768879	0.0631569	0.2053009	0.1909297	0.1853818	0.2873657	-638237.532
12600	0.4069401	0.2483973	0.1396815	0.1303375	0.1126125	0.0475165	0.0323246	0.0749770	0.0532011	0.2137110	0.2264799	0.1239936	0.1422923	-638242.987
12800	0.3973628	0.2481222	0.1401212	0.1272318	0.1115208	0.0469262	0.0341648	0.0621264	0.0668148	0.2361485	0.1320158	0.1409476	0.0916460	-638236.611
13000	0.3926182	0.2656690	0.1427205	0.1296522	0.1124685	0.0421960	0.0302609	0.0884160	0.0483482	0.2555652	0.2714092	0.1445659	0.2278040	-638248.553
13200	0.4007662	0.2540903	0.1416995	0.1272735	0.1112514	0.0525389	0.0408605	0.0868799	0.0522868	0.2204930	0.3311318	0.1498762	0.6633160	-638244.641
13400	0.3824969	0.2518318	0.1446629	0.1333966	0.1161007	0.0553109	0.0369885	0.0748512	0.0509084	0.2428380	0.2518468	0.1006459	0.1681470	-638242.071
13600	0.3935806	0.2517442	0.1529744	0.1301187	0.1123489	0.0603937	0.0484406	0.0669539	0.0488843	0.1952448	0.1248320	0.1152090	0.1486569	-638242.365
13800	0.3941196	0.2424207	0.1409325	0.1236720	0.1093680	0.0455239	0.0355464	0.0707845	0.0537920	0.1725311	0.1048532	0.1473370	0.1957085	-638238.086
14000	0.3916594	0.2568708	0.1374405	0.1213866	0.1092261	0.0565611	0.0404524	0.0657639	0.0395322	0.2453550	0.1401913	0.2250926	0.1518254	-638243.352
14200	0.3818518	0.2628814	0.1385073	0.1226129	0.1096169	0.0547101	0.0391230	0.0711565	0.0500675	0.2064149	0.1505260	0.2371014	0.2482510	-638244.103
14400	0.3800562	0.2513380	0.1391947	0.1255742	0.1122762	0.0448084	0.0282264	0.0872173	0.0652031	0.2405483	0.1989496	0.1992530	0.1832078	-638239.107
14600	0.3941803	0.2644110	0.1409307	0.1241367	0.1135772	0.0465557	0.0323539	0.0936459	0.0368317	0.2122350	0.2363195	0.1992387	0.1547438	-638240.642
14800	0.3873041	0.2500489	0.1423269	0.1239014	0.1097422	0.0458315	0.0311529	0.0732625	0.0513942	0.2341854	0.1010879	0.1465929	0.2799571	-638244.779
15000	0.3652540	0.2544997	0.1376526	0.1278019	0.1134027	0.0418486	0.0271932	0.0674854	0.0527108	0.2526364	0.1863217	0.2335898	0.2591492	-638235.902
15200	0.4186665	0.2635492	0.1409531	0.1272459	0.1141024	0.0451776	0.0355615	0.0752776	0.0522711	0.2248376	0.1278891	0.0751086	0.0913755	-638236.330
15400	0.3945839	0.2502429	0.1351643	0.1184731	0.1023937	0.0463937	0.0326916	0.0757529	0.0553324	0.2416005	0.2151674	0.0870383	0.1201735	-638237.043
15600	0.3872269	0.2443761	0.1260743	0.1144982	0.1066296	0.0453970	0.0295299	0.0752589	0.0563021	0.2407971	0.2036409	0.0815022	0.1097211	-638239.104
15800	0.4011952	0.2470606	0.1318254	0.1142485	0.0971186	0.0388925	0.0261583	0.0746271	0.0471216	0.2492420	0.0790822	0.1500442	0.1407157	-638237.289
16000	0.4026092	0.2540039	0.1175592	0.0998737	0.0866488	0.0471549	0.0312018	0.0792677	0.0635512	0.2830793	0.2497783	0.1791205	0.3194356	-638237.985
16200	0.3967897	0.2418536	0.1181154	0.1057027	0.0962369	0.0426696	0.0323572	0.0859723	0.0593840	0.2692361	0.1418292	0.2403780	0.1491973	-638238.467
16400	0.3947438	0.2568005	0.1225491	0.1047958	0.0945921	0.0425340	0.0268168	0.0883328	0.0572548	0.2568201	0.1088414	0.1046295	0.1911204	-638239.069
16600	0.3831920	0.2448919	0.1156559	0.0966714	0.0852666	0.0338653	0.0234481	0.0908252	0.0728809	0.3224788	0.1112926	0.5138342	0.3265903	-638238.689
16800	0.3979261	0.2524900	0.1053701	0.0935336	0.0816624	0.0312784	0.0242232	0.0931599	0.0739815	0.3076705	0.1653087	0.2440883	0.1461116	-638244.003
17000	0.3846137	0.2500345	0.1090599	0.0991226	0.0907997	0.0295560	0.0217124	0.1014847	0.0808525	0.2842475	0.1560740	0.0876458	0.1889743	-638239.443
17200	0.4028070	0.2478344	0.1169361	0.0998982	0.0859502	0.0379993	0.0238679	0.0772239	0.0580279	0.2837617	0.1091693	0.1027338	0.1793138	-638237.919
17400	0.3932425	0.2453919	0.1112274	0.0997683	0.0914380	0.0425503	0.0313635	0.0778077	0.0577869	0.2595792	0.1445848	0.1008890	0.1383192	-638248.546
17600	0.3830631	0.2472351	0.1195048	0.1056360	0.0939692	0.0378398	0.0261062	0.0804362	0.0574720	0.2524581	0.0927971	0.1135530	0.1041932	-638246.912
17800	0.3939733	0.2507839	0.1239681	0.1113405	0.0998648	0.0342450	0.0218957	0.1039277	0.0635023	0.1997199	0.1854884	0.1887516	0.2034926	-638245.534
