Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	0.4074020	0.2508697	0.1574987	0.1458958	0.1296004	0.0574901	0.0415401	0.0782857	0.0508014	0.2915397	0.2448449	0.1099222	0.1926161	-638239.745
1000	0.3921947	0.2562301	0.1526113	0.1347106	0.1255135	0.0439156	0.0312747	0.0677159	0.0547975	0.2200345	0.2490021	0.1913283	0.1713116	-638240.790
2000	0.3962350	0.2547854	0.1499098	0.1301172	0.1131803	0.0360924	0.0275794	0.0823348	0.0526857	0.2725689	0.1237862	0.1490643	0.1410926	-638248.903
3000	0.3718513	0.2524258	0.1495305	0.1368793	0.1247215	0.0407401	0.0304746	0.0817296	0.0466740	0.2569204	0.1593263	0.1075214	0.1225003	-638234.259
4000	0.3965981	0.2508010	0.1620614	0.1451005	0.1364051	0.0547721	0.0330044	0.0698752	0.0526152	0.2475748	0.1819442	0.2187644	0.6711162	-638242.427
5000	0.3980244	0.2627572	0.1671534	0.1480960	0.1331355	0.0551426	0.0379900	0.0570096	0.0522855	0.1877234	0.1025607	0.1233140	0.2795200	-638243.647
6000	0.3591332	0.2592023	0.1488305	0.1342956	0.1245454	0.0410631	0.0266896	0.0647492	0.0470068	0.2206280	0.1316746	0.1418925	0.1913828	-638230.936
7000	0.3837301	0.2457328	0.1688592	0.1479847	0.1285538	0.0399971	0.0267167	0.0817572	0.0450460	0.2545419	0.1952791	0.2511852	0.2311657	-638243.156
8000	0.4083878	0.2497138	0.1572044	0.1430732	0.1297771	0.0509627	0.0351929	0.0773303	0.0481228	0.1987138	0.1354086	0.0957877	0.3040706	-638236.686
9000	0.3872397	0.2511838	0.1552317	0.1402743	0.1242568	0.0423608	0.0247321	0.0776920	0.0550839	0.2267265	0.1167140	0.1104163	0.3107092	-638241.128
10000	0.3911851	0.2630540	0.1563287	0.1416369	0.1315098	0.0546863	0.0405875	0.0594663	0.0527342	0.2145574	0.2188555	0.2183571	0.1476561	-638241.212
11000	0.3803446	0.2667543	0.1657528	0.1394758	0.1266978	0.0577975	0.0441283	0.0714051	0.0503511	0.2003718	0.2357148	0.1357615	0.2734468	-638236.307
12000	0.3868279	0.2662190	0.1432135	0.1285937	0.1139523	0.0374365	0.0274027	0.0774935	0.0608815	0.2098028	0.0828523	0.1604447	0.1064930	-638235.663
13000	0.3916966	0.2508268	0.1565565	0.1396525	0.1199007	0.0481598	0.0338066	0.0735052	0.0501016	0.2127978	0.1177699	0.1467328	0.1756601	-638238.963
14000	0.3753603	0.2463918	0.1668710	0.1431989	0.1290137	0.0604891	0.0410138	0.0604224	0.0352417	0.1844758	0.2207847	0.2974683	0.1863905	-638237.669
15000	0.3908960	0.2470168	0.1721480	0.1590012	0.1325926	0.0617516	0.0414207	0.0688322	0.0446704	0.2256649	0.1686353	0.1672989	0.2575762	-638244.259
