S_1	S_2	RANGE (round_4)
2	1	(0.5794, 0.5812)
3	1	(0.5967, 0.5986)
3	2	(0.1102, 0.1106)
4	1	(0.5879, 0.5897)
4	2	(0.1024, 0.1027)
4	3	(0.0636, 0.064)
5	1	(0.5941, 0.596)
5	2	(0.1083, 0.1086)
5	3	(0.0644, 0.0648)
5	4	(0.0632, 0.0634)
6	1	(0.5943, 0.5962)
6	2	(0.1092, 0.1095)
6	3	(0.0648, 0.0652)
6	4	(0.0633, 0.0635)
6	5	(0.02, 0.0201)
7	1	(0.5921, 0.5939)
7	2	(0.1102, 0.1105)
7	3	(0.0663, 0.0667)
7	4	(0.0645, 0.0647)
7	5	(0.0597, 0.0599)
7	6	(0.0599, 0.0601)
8	1	(0.5946, 0.5964)
8	2	(0.1081, 0.1084)
8	3	(0.0637, 0.0641)
8	4	(0.0629, 0.0631)
8	5	(0.0187, 0.0188)
8	6	(0.0199, 0.02)
8	7	(0.059, 0.0592)
