Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3
1	0.7196745	0.1321196	0.0954049	0.0744614	0.0195132	0.1130101	0.0017068	0.0432163	0.0460956	0.0234002	0.0459694	0.0585366
10	0.5484479	0.1349402	0.1198711	0.0725336	0.0599410	0.1130101	0.0015778	0.0455004	0.0441453	0.0131792	0.2325541	0.0417361
20	0.7051710	0.1363768	0.0772060	0.0702767	0.0599410	0.1130101	0.0015465	0.0412353	0.0391626	0.0201088	0.1349036	0.0940196
30	0.2067172	0.1417760	0.0766109	0.0742855	0.0132383	0.0806481	0.0016059	0.0397615	0.0372959	0.0401337	0.1254923	0.0964178
40	0.7024671	0.1294902	0.1250435	0.0765468	0.0755105	0.0814878	0.0018242	0.0486351	0.0316052	0.1153072	0.0787550	0.2397827
50	0.1390086	0.1198797	0.0730808	0.0650893	0.0076791	0.0603169	0.0017939	0.0509371	0.0251979	0.1153072	0.1133007	0.0624290
60	0.6544049	0.1446937	0.0973574	0.0743609	0.0255779	0.0941686	0.0018804	0.0396565	0.0258804	0.3226161	0.1499633	0.0283549
70	0.9403790	0.1265797	0.0715552	0.0637300	0.0485792	0.1104749	0.0019241	0.0369099	0.0221157	0.2291381	0.2161017	0.0341923
80	0.7510525	0.1389845	0.1180890	0.0774035	0.0537072	0.0901088	0.0024738	0.0237744	0.0209323	0.1258374	0.1729538	0.1169348
90	0.7510525	0.1576623	0.0954602	0.0671099	0.0278514	0.0239040	0.0022897	0.0259096	0.0188377	0.3196616	0.2216670	0.0482026
100	0.3433176	0.1234151	0.1122174	0.0613867	0.0037212	0.0778745	0.0023204	0.0244239	0.0193883	0.3154384	0.0589807	0.0974313
110	0.1922492	0.1480223	0.1303908	0.0720983	0.0599253	0.1120327	0.0022937	0.0175900	0.0191430	0.3252108	0.0236233	0.0320368
120	0.6219662	0.1322144	0.1289400	0.0801089	0.0544141	0.0701053	0.0022132	0.0179334	0.0188315	0.2526921	0.0407829	0.0320368
130	0.8526493	0.1221030	0.1115155	0.0758936	0.0130861	0.0998586	0.0020087	0.0133071	0.0195769	0.2526921	0.0292669	0.0361739
140	0.3915961	0.1404078	0.0820161	0.0639117	0.0223148	0.1300886	0.0021796	0.0160867	0.0200656	0.3242531	0.0616487	0.1103800
150	0.8054154	0.1349225	0.0801572	0.0597877	0.0345177	0.0498677	0.0018567	0.0178499	0.0175073	0.3143176	0.0869175	0.1103800
160	0.7567922	0.1477085	0.0783389	0.0761704	0.0345177	0.0047338	0.0016777	0.0189453	0.0191378	0.2116746	0.4845339	0.1219937
170	0.5249070	0.1504249	0.1446392	0.0754916	0.0607756	0.0938212	0.0018773	0.0198028	0.0195892	0.1938336	0.1875905	0.1263095
180	0.5249070	0.1278454	0.0963481	0.0792853	0.0607756	0.0938212	0.0021965	0.0190804	0.0192555	0.4850236	0.0442818	0.2171306
190	0.8076457	0.1212217	0.0831626	0.0754245	0.0161295	0.0938212	0.0022018	0.0147790	0.0237031	0.1340034	0.0293019	0.2061478
200	0.9482324	0.1427597	0.1039073	0.0694146	0.0447604	0.0170838	0.0022550	0.0128516	0.0214237	0.6486319	0.0154503	0.0847545
210	0.5985939	0.1456221	0.1397454	0.0689347	0.0472939	0.0984853	0.0022733	0.0114368	0.0206201	0.1949260	0.0278810	0.0062791
220	0.4169325	0.1538249	0.0848563	0.0744563	0.0008136	0.0985018	0.0021858	0.0122948	0.0180443	0.2711736	0.1287514	0.0166977
230	0.4169325	0.1273362	0.0948737	0.0784534	0.0613259	0.0447232	0.0026018	0.0140647	0.0170433	0.2307527	0.2482702	0.0578044
240	0.2666960	0.1295195	0.0763677	0.0675457	0.0232408	0.0305535	0.0027221	0.0151840	0.0191028	0.2307527	0.5372660	0.0342350
250	0.5380782	0.1319076	0.1029655	0.0697576	0.0182597	0.0557435	0.0029754	0.0085004	0.0187398	0.5671796	0.1881845	0.1268567
260	0.6231683	0.1256297	0.0911311	0.0748209	0.0222809	0.0520437	0.0038050	0.0121010	0.0216224	0.7413660	0.1434305	0.3072327
270	0.4483537	0.1550621	0.1174120	0.0640340	0.0077968	0.1491935	0.0031197	0.0121950	0.0197411	0.5953721	0.2417453	0.1945491
280	0.2360082	0.1570032	0.1309071	0.0787260	0.0686625	0.0229556	0.0027760	0.0142247	0.0223172	0.9960048	0.3195526	0.2777809
290	0.5925221	0.1539887	0.0964744	0.0774870	0.0266798	0.0208443	0.0037055	0.0107031	0.0238651	0.4427609	0.0940753	0.2923116
300	0.9171168	0.1306265	0.1123177	0.0732730	0.0086215	0.0534820	0.0044971	0.0078777	0.0232587	0.5418633	0.0299724	0.6286861
310	0.9171168	0.1294007	0.1003395	0.0641869	0.0585362	0.1241691	0.0043143	0.0092714	0.0195747	0.4680123	0.0288889	0.4193937
320	0.6566248	0.1561759	0.0906416	0.0644680	0.0160877	0.0370232	0.0048795	0.0089178	0.0216167	0.4063984	0.0658207	0.4193937
330	0.4613130	0.1548805	0.1481208	0.0697385	0.0662401	0.0498760	0.0049658	0.0108913	0.0203850	0.2093364	0.1404747	0.4193937
340	0.3102594	0.1345085	0.1310452	0.0711970	0.0292121	0.1125835	0.0047411	0.0093785	0.0171757	0.6239008	0.3463088	0.4193937
350	0.6594466	0.1301202	0.1136119	0.0771283	0.0442058	0.0499189	0.0057925	0.0089240	0.0161812	0.4022312	0.0267128	0.4193937
360	0.9671639	0.1220004	0.0904769	0.0618563	0.0343651	0.0950993	0.0061159	0.0065541	0.0130714	0.4456043	0.0563815	0.1062453
370	0.9671639	0.1524126	0.0811975	0.0693243	0.0559301	0.0950993	0.0094455	0.0080682	0.0129357	0.4418258	0.0879581	0.0543230
380	0.7237916	0.1585347	0.1268971	0.0662345	0.0559301	0.1525195	0.0083835	0.0081812	0.0132406	0.0845435	0.0484400	0.0877437
390	0.6755033	0.1585347	0.0826539	0.0641141	0.0518415	0.0960507	0.0074829	0.0062942	0.0127935	0.0764298	0.0415185	0.0353571
400	0.9976729	0.1520026	0.1337592	0.0703410	0.0108601	0.0663781	0.0084491	0.0067433	0.0128342	0.0611310	0.0511432	0.0191247
410	0.5086330	0.1188059	0.1136936	0.0796368	0.0157879	0.0760582	0.0090534	0.0070342	0.0122906	0.0753363	0.1184201	0.0401129
420	0.2884495	0.1225906	0.1019786	0.0742254	0.0409241	0.0082304	0.0087835	0.0070784	0.0131732	0.0157134	0.0515566	0.0424145
430	0.1641243	0.1557473	0.1005759	0.0611725	0.0409241	0.0485122	0.0086460	0.0068920	0.0116927	0.0167271	0.0427403	0.0069004
440	0.8227582	0.1490881	0.1156191	0.0690407	0.0502749	0.0875052	0.0096919	0.0062065	0.0116390	0.0181945	0.0611640	0.0124227
450	0.2889896	0.1215777	0.0817671	0.0650793	0.0256329	0.0371271	0.0100138	0.0060546	0.0107447	0.0417600	0.0168489	0.0544818
460	0.6091995	0.1286154	0.1022743	0.0727439	0.0152771	0.0824497	0.0101098	0.0074188	0.0104199	0.0457394	0.0284461	0.0475659
470	0.8722432	0.1383082	0.0804368	0.0667457	0.0573914	0.0386611	0.0101272	0.0070075	0.0109702	0.1386970	0.0551465	0.0491500
480	0.3820910	0.1384164	0.1294470	0.0742342	0.0177088	0.1148054	0.0086805	0.0056693	0.0126508	0.0823225	0.1915755	0.0919984
490	0.4872740	0.1454142	0.1433331	0.0601233	0.0438175	0.0847909	0.0097520	0.0071414	0.0141432	0.0951599	0.1959064	0.3525905
500	0.4872740	0.1602284	0.0860445	0.0672918	0.0617155	0.1401363	0.0071595	0.0088985	0.0138082	0.1804607	0.4972942	0.3641203
510	0.8368754	0.1578357	0.1209248	0.0754125	0.0561408	0.0825400	0.0086446	0.0061896	0.0140425	0.1360567	0.4532736	0.2114270
520	0.4488482	0.1535077	0.0870565	0.0782046	0.0288066	0.1068998	0.0074535	0.0067193	0.0120275	0.1723055	0.2859476	0.3407443
530	0.4488482	0.1476330	0.1125925	0.0774873	0.0212869	0.0417915	0.0066143	0.0087018	0.0128548	0.1689901	0.1522373	0.1682389
540	0.4812594	0.1538068	0.0897833	0.0721113	0.0188404	0.0022876	0.0086335	0.0093945	0.0125995	0.1185025	0.1863032	0.2173084
550	0.1393524	0.1385991	0.0863986	0.0715893	0.0446673	0.1086611	0.0072991	0.0088597	0.0125885	0.0628187	0.3475849	0.2173084
560	0.5029322	0.1194293	0.0984816	0.0738513	0.0076146	0.0963396	0.0061370	0.0067775	0.0106675	0.0644630	0.3557137	0.0969186
570	0.4263843	0.1238179	0.1216016	0.0687747	0.0572689	0.0963396	0.0063623	0.0096959	0.0115195	0.0078392	0.2284528	0.0969186
580	0.6624851	0.1545932	0.1399113	0.0625025	0.0492191	0.0047987	0.0058769	0.0113474	0.0102526	0.0134441	0.1297437	0.1624029
590	0.6624851	0.1513144	0.0777724	0.0763417	0.0407418	0.0095124	0.0068164	0.0120355	0.0088959	0.0674297	0.0751931	0.1403111
600	0.4279115	0.1349228	0.1338500	0.0703384	0.0415379	0.1286428	0.0059386	0.0083690	0.0082592	0.1076507	0.0178576	0.0618734
610	0.9922440	0.1536484	0.1046634	0.0605709	0.0197978	0.0094106	0.0063013	0.0081515	0.0092487	0.0661162	0.0175090	0.0712618
620	0.6436201	0.1517348	0.0808848	0.0636162	0.0476914	0.0386470	0.0065542	0.0070895	0.0089598	0.0079605	0.0401102	0.1088155
630	0.1336917	0.1189436	0.0892230	0.0799986	0.0572719	0.1095810	0.0062806	0.0075959	0.0100828	0.0169786	0.0527381	0.0932869
640	0.5716800	0.1304602	0.1077634	0.0799321	0.0270234	0.0290707	0.0067313	0.0076269	0.0094457	0.0263317	0.0498164	0.1886607
650	0.2554951	0.1587218	0.1044137	0.0635954	0.0188682	0.1117901	0.0065361	0.0085607	0.0108217	0.0364372	0.1189727	0.2340400
660	0.4428983	0.1585947	0.1563945	0.0622653	0.0431103	0.1334796	0.0062240	0.0088622	0.0118126	0.1441737	0.0226805	0.3466777
670	0.3436971	0.1585947	0.1023417	0.0802515	0.0416456	0.1334796	0.0057534	0.0095750	0.0123961	0.0556705	0.2081303	0.1522946
680	0.7837013	0.1501253	0.0977391	0.0745265	0.0208213	0.0151767	0.0062543	0.0137835	0.0098340	0.1335441	0.2228949	0.3190552
690	0.5567184	0.1423195	0.1178994	0.0713266	0.0253404	0.1089776	0.0054237	0.0117247	0.0092634	0.1580690	0.3791639	0.3190552
700	0.4572352	0.1206567	0.1080400	0.0812888	0.0227483	0.1089776	0.0056249	0.0139028	0.0103586	0.2227470	0.1019877	0.2590575
710	0.4028612	0.1286014	0.1092082	0.0690952	0.0618737	0.0719519	0.0058683	0.0102431	0.0098504	0.1754842	0.0726173	0.2590575
720	0.7953766	0.1524330	0.1138549	0.0724259	0.0655334	0.1425035	0.0056069	0.0102976	0.0106366	0.1662056	0.1346958	0.0887694
730	0.6422126	0.1501626	0.0905597	0.0768532	0.0196596	0.0328156	0.0065999	0.0090249	0.0126027	0.0899531	0.2441984	0.5556773
740	0.8774892	0.1265445	0.0911177	0.0673315	0.0262314	0.0741599	0.0059765	0.0084030	0.0146951	0.0253364	0.1050960	0.5556773
