run	node	mean		2.5% quantil	97.5% quantil	95% CI width
run1	t_n8	0.1638		0.1431	0.1844	0.0413
run1	t_n9	0.1524		0.135	0.1614	0.0264
run1	t_n10	0.0975		0.0851	0.1084	0.0233
run1	t_n11	0.0703		0.0608	0.0794	0.0186
run1	t_n12	0.0302		0.0247	0.036	0.0113
run1	t_n13	0.0558		0.0465	0.0654	0.0189

run2	t_n8	0.1638		0.1417	0.1844	0.0427
run2	t_n9	0.1524		0.1339	0.1615	0.0276
run2	t_n10	0.0977		0.0849	0.1087	0.0238
run2	t_n11	0.0704		0.0608	0.0795	0.0187
run2	t_n12	0.0302		0.0247	0.036	0.0113
run2	t_n13	0.0557		0.0464	0.0654	0.019
